close,high,low,open,volume,baseVolume,conversionType,conversionSymbol,datetime
9878.29,9990.0,9810.5,9970.87,5005.86,49597586.16,force_direct,,2020-07-26 12:00:00
9887.23,9927.46,9863.0,9878.29,2404.35,23783945.84,force_direct,,2020-07-26 13:00:00
9950.92,9960.85,9882.35,9887.23,2208.77,21910513.99,force_direct,,2020-07-26 14:00:00
9961.83,9983.06,9907.11,9950.92,3043.04,30255412.48,force_direct,,2020-07-26 15:00:00
9896.29,9988.0,9895.12,9961.83,2899.54,28809017.26,force_direct,,2020-07-26 16:00:00
9909.23,9924.7,9888.04,9896.29,1373.76,13617445.87,force_direct,,2020-07-26 17:00:00
9917.0,9930.0,9876.02,9909.23,1797.04,17790935.13,force_direct,,2020-07-26 18:00:00
9866.0,9917.95,9845.2,9917.0,1670.06,16501096.13,force_direct,,2020-07-26 19:00:00
9887.87,9895.97,9840.9,9866.0,1530.6,15121119.68,force_direct,,2020-07-26 20:00:00
9879.98,9906.11,9871.03,9887.87,998.46,9876483.81,force_direct,,2020-07-26 21:00:00
9917.6,9940.0,9879.9,9879.98,1844.75,18302878.27,force_direct,,2020-07-26 22:00:00
9931.54,9935.84,9898.97,9917.6,1166.45,11571034.98,force_direct,,2020-07-26 23:00:00
9972.98,10045.0,9917.21,9931.54,3951.18,39447378.81,force_direct,,2020-07-27 00:00:00
10080.0,10100.0,9971.71,9972.98,5729.45,57580309.13,force_direct,,2020-07-27 01:00:00
10053.34,10086.11,10024.01,10080.0,2397.5,24112073.15,force_direct,,2020-07-27 02:00:00
10248.84,10315.0,10050.87,10053.34,9738.12,99207058.63,force_direct,,2020-07-27 03:00:00
10207.37,10307.04,10170.0,10248.84,5712.41,58488626.39,force_direct,,2020-07-27 04:00:00
10287.99,10319.89,10193.06,10207.37,4082.07,41860401.43,force_direct,,2020-07-27 05:00:00
10280.95,10301.48,10215.08,10287.99,3929.6,40306762.11,force_direct,,2020-07-27 06:00:00
10157.95,10280.96,10138.86,10280.95,3961.81,40505593.02,force_direct,,2020-07-27 07:00:00
10170.17,10185.33,10120.0,10157.95,4265.66,43335303.34,force_direct,,2020-07-27 08:00:00
10246.46,10260.0,10136.13,10170.17,3658.81,37320487.02,force_direct,,2020-07-27 09:00:00
10258.8,10288.88,10213.35,10246.46,3628.08,37176115.9,force_direct,,2020-07-27 10:00:00
10255.92,10328.0,10201.0,10258.8,4721.68,48432217.28,force_direct,,2020-07-27 11:00:00
10292.08,10309.97,10223.2,10255.92,4274.11,43905516.0,force_direct,,2020-07-27 12:00:00
